time,position,velocity,accel x,accel y,accel z,mag x, mag y,mag z,gyro x,gyro y,gyro z
0,0.613283084,1.246924911,-0.12487793,-0.061523438,-0.939331055,-0.411560059,-0.190490723,-0.667236328,2.123413086,5.869293213,1.95892334
0.065,0.611720579,1.246924911,-0.079956055,-0.077514648,-0.966064453,-0.411682129,-0.190856934,-0.697998047,1.054229736,6.407623291,2.392578125
0.114,0.611720579,1.246924911,0.54284668,0.243286133,-1.154785156,-0.411987305,-0.190734863,-0.654541016,-0.418701172,8.777770996,1.786956787
0.166,0.636720654,1.246924911,1.421875,-0.243530273,-1.657226563,-0.390441895,-0.192443848,-0.661193848,1.570129395,9.66003418,2.280426025
0.193,0.667189495,1.246924911,0.916015625,-0.082397461,-1.172363281,-0.378356934,-0.191467285,-0.608764648,0.059814453,6.325378418,2.87109375
0.244,0.747658486,1.246924911,1.201171875,0.08203125,-0.619384766,-0.323364258,-0.185668945,-0.438293457,3.798217773,6.362762451,2.89352417
0.299,0.874221365,1.246924911,1.342163086,-0.225952148,-1.496337891,-0.278320313,-0.19128418,-0.401367188,0.725250244,7.020721436,1.734619141
0.356,1.048440636,1.246924911,1.495239258,-0.075683594,-0.783935547,-0.24597168,-0.193908691,-0.370178223,3.970184326,2.385101318,2.280426025
0.424,1.319535196,1.246924911,1.265380859,-0.086791992,-0.918945313,-0.229125977,-0.311950684,-0.406005859,2.280426025,6.235656738,4.837493896
0.473,1.546098374,1.246924911,1.176757813,-0.156982422,-0.705200195,-0.227844238,-0.408325195,-0.396179199,1.136474609,4.859924316,4.306640625
0.548,1.954693346,1.246924911,0.966674805,0.240844727,-1.395629883,-0.174438477,-0.456604004,-0.294555664,3.865509033,6.624450684,1.368255615
0.598,2.259381757,1.246924911,1.161499023,-0.211181641,-1.130981445,-0.031311035,-0.398803711,-0.358276367,3.282318115,8.030090332,2.220611572
0.625,2.438288542,1.246924911,1.003295898,-0.272827148,-0.608398438,-0.097412109,-0.319091797,-0.493530273,1.585083008,7.551574707,1.719665527
0.651,2.610945309,1.246924911,0.831542969,0.037719727,-1.564575195,-0.126281738,-0.301635742,-0.538696289,-0.029907227,8.254394531,0.97946167
