Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
2468K-ND,Keystone Electronics,2468,REF98,1,
WM1863-ND,Molex Inc,0436500500,REF108,1,
ADXL345BCCZ-RLCT-ND,Analog Devices Inc,ADXL345BCCZ-RL,REF99,1,
828-1027-1-ND,Bosch Sensortec,BMP180,REF100,1,
308-1945-1-ND,Sumida America Components Inc,CDRH2D09NP-2R2MC,REF114,2,
P30.9KHCT-ND,Panasonic Electronic Components,ERJ-3EKF3092V,REF117,1,
P44.2KHCT-ND,Panasonic Electronic Components,ERJ-3EKF4422V,REF119,1,
P75.0KHCT-ND,Panasonic Electronic Components,ERJ-3EKF7502V,REF118,1,
P95.3KHCT-ND,Panasonic Electronic Components,ERJ-3EKF9532V,REF116,1,
P1.0MGCT-ND,Panasonic Electronic Components,ERJ-3GEYJ105V,REF120,2,
P4.7KGCT-ND,Panasonic Electronic Components,ERJ-3GEYJ472V,REF111,1,
P560GCT-ND,Panasonic Electronic Components,ERJ-3GEYJ561V,REF112,3,
FTSH-105-01-F-DV-K-ND,Samtec Inc,FTSH-105-01-F-DV-K,REF110,1,
490-5526-1-ND,Murata Electronics North America,GRM188R60G226MEA0D,REF123,2,
490-3896-1-ND,Murata Electronics North America,GRM188R60J106ME47D,REF103,5,
490-3297-1-ND,Murata Electronics North America,GRM188R60J475KE19D,REF106,1,
490-1537-1-ND,Murata Electronics North America,GRM188R61A224KA01D,REF105,1,
490-9654-1-ND,Murata Electronics North America,GRM188R61E104KA01D,REF104,6,
LTC3426ES6#TRMPBFCT-ND,Linear Technology,LTC3426ES6#TRMPBF,REF121,2,
MBRA210LT3GOSCT-ND,ON Semiconductor,MBRA210LT3G,REF113,2,
RHM2.2KCGCT-ND,Rohm Semiconductor,MCR03ERTJ222,REF107,4,
NSR0320MW2T1GOSCT-ND,ON Semiconductor,NSR0320MW2T1G,REF97,2,
S5520-ND,Sullins Connector Solutions,PPTC062LJBN-RC,REF125,1,
CKN9104CT-ND,C&K Components,PTS525SM10SMTR LFS,REF115,1,
1274-1045-ND,Spansion,S25FL127SABMFI101,REF102,1,
S9172-ND,Sullins Connector Solutions,SBH11-PBPC-D10-ST-BK,REF109,1,
SBH11-PBPC-D12-RA-BK-ND,Sullins Connector Solutions,SBH11-PBPC-D12-RA-BK,REF124,1,
67-1356-1-ND,Lumex Opto/Components Inc,SML-LX1206IC-TR,REF122,3,
